Código do Direito de Exploração (Code);Satélite (Satellite);Operadora (Operator);Representante Legal do Satélite no Brasil (Legal representative);Tipo de Direito (Type of landing right)
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;CAPROCK PARTICIPACOES DO BRASIL LTDA.;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;ARYCOM CAPACIDADE SATELITAL LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;ONIXTEL COMUNICAÇÕES LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;INTERSATELLITE DO BRASIL LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;TRUCKS PROVEDORA DE COMUNICACOES E SERVICOS DE SATELITE LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;PIVOTEL BRASIL SATÉLITES LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;INMARSAT BRASIL EIRELI;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;MARLINK PARTICIPAÇÕES E SERVIÇOS LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;HONEYWELL DO BRASIL LTDA.;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;RADIOMAR ELETRÔNICA NAVAL LTDA;Estrangeiro
-30C30BKu30BKu;HISPASAT 30W-6;HISPASAT S.A.;HISPASAT BRASIL LTDA;Estrangeiro
-36Ku;HISPASAT 36W-1;HISPASAT S.A.;HISPASAT BRASIL LTDA;Estrangeiro
-74Ku3030A;HISPASAT 74W-1;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-15,5L;Inmarsat 3 AOR East;INMARSAT SOLUTIONS (CANADA) INC.;INTERSATELLITE DO BRASIL LTDA;Estrangeiro
-15,5L;Inmarsat 3 AOR East;INMARSAT SOLUTIONS (CANADA) INC.;ONIXTEL COMUNICAÇÕES LTDA;Estrangeiro
-15,5L;Inmarsat 3 AOR East;INMARSAT SOLUTIONS (CANADA) INC.;ARINC SERVICOS DE COMUNICACAO E GESTAO DA INFORMACAO LTDA.;Estrangeiro
